,authorYear,study,designType,multiBase,multiProbe,cluster,case,phase,A,B,M,session,outcome,complexityMeasure,singleType,mixedType,generalization,level_AB,level_BM,time_A,time_B,time_M,trend_AB,trend_BM
1134,Maccini & Hughes (2000),9,multiProbe,0,1,7,3,B,0,1,0,108,98,singleType,1,0,0,1,0,106,21,0,21,0
1135,Maccini & Hughes (2000),9,multiProbe,0,1,7,3,B,0,1,0,112,100,singleType,1,0,0,1,0,110,25,0,25,0
1136,Maccini & Hughes (2000),9,multiProbe,0,1,7,3,B,0,1,0,119,99,singleType,1,0,0,1,0,117,32,0,32,0
1137,Maccini & Hughes (2000),9,multiProbe,0,1,7,3,B,0,1,0,124,70,generalization,0,0,1,1,0,122,37,0,37,0
1138,Maccini & Hughes (2000),9,multiProbe,0,1,7,3,B,0,1,0,128,98,generalization,0,0,1,1,0,126,41,0,41,0
1139,Maccini & Hughes (2000),9,multiProbe,0,1,7,4,A,1,0,0,2,19,singleType,1,0,0,0,0,0,-13,0,0,0
1140,Maccini & Hughes (2000),9,multiProbe,0,1,7,4,A,1,0,0,5,27,singleType,1,0,0,0,0,3,-10,0,0,0
1141,Maccini & Hughes (2000),9,multiProbe,0,1,7,4,A,1,0,0,8,19,singleType,1,0,0,0,0,6,-7,0,0,0
1142,Maccini & Hughes (2000),9,multiProbe,0,1,7,4,A,1,0,0,11,18,singleType,1,0,0,0,0,9,-4,0,0,0
1143,Maccini & Hughes (2000),9,multiProbe,0,1,7,4,B,0,1,0,15,99,singleType,1,0,0,1,0,13,0,0,0,0
1144,Maccini & Hughes (2000),9,multiProbe,0,1,7,4,B,0,1,0,23,99,singleType,1,0,0,1,0,21,8,0,8,0
1145,Maccini & Hughes (2000),9,multiProbe,0,1,7,4,B,0,1,0,26,98,singleType,1,0,0,1,0,24,11,0,11,0
1146,Maccini & Hughes (2000),9,multiProbe,0,1,7,4,B,0,1,0,34,99,singleType,1,0,0,1,0,32,19,0,19,0
1147,Maccini & Hughes (2000),9,multiProbe,0,1,7,4,B,0,1,0,38,99,singleType,1,0,0,1,0,36,23,0,23,0
1148,Maccini & Hughes (2000),9,multiProbe,0,1,7,4,B,0,1,0,46,99,singleType,1,0,0,1,0,44,31,0,31,0
1149,Maccini & Hughes (2000),9,multiProbe,0,1,7,4,B,0,1,0,53,70,generalization,0,0,1,1,0,51,38,0,38,0
1150,Maccini & Hughes (2000),9,multiProbe,0,1,7,4,B,0,1,0,60,82,generalization,0,0,1,1,0,58,45,0,45,0
1151,Maccini & Hughes (2000),9,multiProbe,0,1,7,5,A,1,0,0,2,2,singleType,1,0,0,0,0,0,-40,0,0,0
1152,Maccini & Hughes (2000),9,multiProbe,0,1,7,5,A,1,0,0,6,2,singleType,1,0,0,0,0,4,-36,0,0,0
1153,Maccini & Hughes (2000),9,multiProbe,0,1,7,5,A,1,0,0,8,2,singleType,1,0,0,0,0,6,-34,0,0,0
1154,Maccini & Hughes (2000),9,multiProbe,0,1,7,5,A,1,0,0,12,2,singleType,1,0,0,0,0,10,-30,0,0,0
1155,Maccini & Hughes (2000),9,multiProbe,0,1,7,5,A,1,0,0,15,2,singleType,1,0,0,0,0,13,-27,0,0,0
1156,Maccini & Hughes (2000),9,multiProbe,0,1,7,5,B,0,1,0,42,100,singleType,1,0,0,1,0,40,0,0,0,0
1157,Maccini & Hughes (2000),9,multiProbe,0,1,7,5,B,0,1,0,54,91,singleType,1,0,0,1,0,52,12,0,12,0
1158,Maccini & Hughes (2000),9,multiProbe,0,1,7,5,B,0,1,0,57,100,singleType,1,0,0,1,0,55,15,0,15,0
1159,Maccini & Hughes (2000),9,multiProbe,0,1,7,5,B,0,1,0,64,100,singleType,1,0,0,1,0,62,22,0,22,0
1160,Maccini & Hughes (2000),9,multiProbe,0,1,7,5,B,0,1,0,67,90,singleType,1,0,0,1,0,65,25,0,25,0
1161,Maccini & Hughes (2000),9,multiProbe,0,1,7,5,B,0,1,0,73,89,singleType,1,0,0,1,0,71,31,0,31,0
1162,Maccini & Hughes (2000),9,multiProbe,0,1,7,5,B,0,1,0,80,67,generalization,0,0,1,1,0,78,38,0,38,0
1163,Maccini & Hughes (2000),9,multiProbe,0,1,7,5,B,0,1,0,86,74,generalization,0,0,1,1,0,84,44,0,44,0
1164,Maccini & Hughes (2000),9,multiProbe,0,1,8,1,A,1,0,0,1,75,singleType,1,0,0,0,0,0,-14,0,0,0
1165,Maccini & Hughes (2000),9,multiProbe,0,1,8,1,A,1,0,0,4,75,singleType,1,0,0,0,0,3,-11,0,0,0
1166,Maccini & Hughes (2000),9,multiProbe,0,1,8,1,A,1,0,0,7,100,singleType,1,0,0,0,0,6,-8,0,0,0
1167,Maccini & Hughes (2000),9,multiProbe,0,1,8,1,A,1,0,0,11,55,singleType,1,0,0,0,0,10,-4,0,0,0
1168,Maccini & Hughes (2000),9,multiProbe,0,1,8,1,B,0,1,0,15,95,singleType,1,0,0,1,0,14,0,0,0,0
1169,Maccini & Hughes (2000),9,multiProbe,0,1,8,1,B,0,1,0,22,98,singleType,1,0,0,1,0,21,7,0,7,0
1170,Maccini & Hughes (2000),9,multiProbe,0,1,8,1,B,0,1,0,26,96,singleType,1,0,0,1,0,25,11,0,11,0
1171,Maccini & Hughes (2000),9,multiProbe,0,1,8,1,B,0,1,0,34,97,singleType,1,0,0,1,0,33,19,0,19,0
1172,Maccini & Hughes (2000),9,multiProbe,0,1,8,1,B,0,1,0,38,95,singleType,1,0,0,1,0,37,23,0,23,0
1173,Maccini & Hughes (2000),9,multiProbe,0,1,8,1,B,0,1,0,45,96,singleType,1,0,0,1,0,44,30,0,30,0
1174,Maccini & Hughes (2000),9,multiProbe,0,1,8,1,B,0,1,0,53,95,generalization,0,0,1,1,0,52,38,0,38,0
1175,Maccini & Hughes (2000),9,multiProbe,0,1,8,1,B,0,1,0,60,95,generalization,0,0,1,1,0,59,45,0,45,0
1176,Maccini & Hughes (2000),9,multiProbe,0,1,8,2,A,1,0,0,1,1,singleType,1,0,0,0,0,0,-41,0,0,0
1177,Maccini & Hughes (2000),9,multiProbe,0,1,8,2,A,1,0,0,4,16,singleType,1,0,0,0,0,3,-38,0,0,0
1178,Maccini & Hughes (2000),9,multiProbe,0,1,8,2,A,1,0,0,7,16,singleType,1,0,0,0,0,6,-35,0,0,0
1179,Maccini & Hughes (2000),9,multiProbe,0,1,8,2,A,1,0,0,11,22,singleType,1,0,0,0,0,10,-31,0,0,0
1180,Maccini & Hughes (2000),9,multiProbe,0,1,8,2,A,1,0,0,14,9,singleType,1,0,0,0,0,13,-28,0,0,0
1181,Maccini & Hughes (2000),9,multiProbe,0,1,8,2,B,0,1,0,42,95,singleType,1,0,0,1,0,41,0,0,0,0
1182,Maccini & Hughes (2000),9,multiProbe,0,1,8,2,B,0,1,0,53,98,singleType,1,0,0,1,0,52,11,0,11,0
1183,Maccini & Hughes (2000),9,multiProbe,0,1,8,2,B,0,1,0,57,99,singleType,1,0,0,1,0,56,15,0,15,0
1184,Maccini & Hughes (2000),9,multiProbe,0,1,8,2,B,0,1,0,64,99,singleType,1,0,0,1,0,63,22,0,22,0
1185,Maccini & Hughes (2000),9,multiProbe,0,1,8,2,B,0,1,0,68,99,singleType,1,0,0,1,0,67,26,0,26,0
1186,Maccini & Hughes (2000),9,multiProbe,0,1,8,2,B,0,1,0,74,99,singleType,1,0,0,1,0,73,32,0,32,0
1187,Maccini & Hughes (2000),9,multiProbe,0,1,8,2,B,0,1,0,79,100,generalization,0,0,1,1,0,78,37,0,37,0
1188,Maccini & Hughes (2000),9,multiProbe,0,1,8,2,B,0,1,0,87,98,generalization,0,0,1,1,0,86,45,0,45,0
1189,Maccini & Hughes (2000),9,multiProbe,0,1,8,3,A,1,0,0,2,77,singleType,1,0,0,0,0,0,-85,0,0,0
1190,Maccini & Hughes (2000),9,multiProbe,0,1,8,3,A,1,0,0,6,20,singleType,1,0,0,0,0,4,-81,0,0,0
1191,Maccini & Hughes (2000),9,multiProbe,0,1,8,3,A,1,0,0,9,48,singleType,1,0,0,0,0,7,-78,0,0,0
1192,Maccini & Hughes (2000),9,multiProbe,0,1,8,3,A,1,0,0,13,79,singleType,1,0,0,0,0,11,-74,0,0,0
1193,Maccini & Hughes (2000),9,multiProbe,0,1,8,3,A,1,0,0,17,4,singleType,1,0,0,0,0,15,-70,0,0,0
1194,Maccini & Hughes (2000),9,multiProbe,0,1,8,3,B,0,1,0,87,95,singleType,1,0,0,1,0,85,0,0,0,0
1195,Maccini & Hughes (2000),9,multiProbe,0,1,8,3,B,0,1,0,98,96,singleType,1,0,0,1,0,96,11,0,11,0
1196,Maccini & Hughes (2000),9,multiProbe,0,1,8,3,B,0,1,0,102,97,singleType,1,0,0,1,0,100,15,0,15,0
1197,Maccini & Hughes (2000),9,multiProbe,0,1,8,3,B,0,1,0,108,97,singleType,1,0,0,1,0,106,21,0,21,0
1198,Maccini & Hughes (2000),9,multiProbe,0,1,8,3,B,0,1,0,112,96,singleType,1,0,0,1,0,110,25,0,25,0
1199,Maccini & Hughes (2000),9,multiProbe,0,1,8,3,B,0,1,0,119,97,singleType,1,0,0,1,0,117,32,0,32,0
1200,Maccini & Hughes (2000),9,multiProbe,0,1,8,3,B,0,1,0,124,77,generalization,0,0,1,1,0,122,37,0,37,0
1201,Maccini & Hughes (2000),9,multiProbe,0,1,8,3,B,0,1,0,128,93,generalization,0,0,1,1,0,126,41,0,41,0
1202,Maccini & Hughes (2000),9,multiProbe,0,1,8,4,A,1,0,0,2,26,singleType,1,0,0,0,0,0,-13,0,0,0
1203,Maccini & Hughes (2000),9,multiProbe,0,1,8,4,A,1,0,0,5,43,singleType,1,0,0,0,0,3,-10,0,0,0
1204,Maccini & Hughes (2000),9,multiProbe,0,1,8,4,A,1,0,0,8,27,singleType,1,0,0,0,0,6,-7,0,0,0
1205,Maccini & Hughes (2000),9,multiProbe,0,1,8,4,A,1,0,0,11,33,singleType,1,0,0,0,0,9,-4,0,0,0
1206,Maccini & Hughes (2000),9,multiProbe,0,1,8,4,B,0,1,0,15,96,singleType,1,0,0,1,0,13,0,0,0,0
1207,Maccini & Hughes (2000),9,multiProbe,0,1,8,4,B,0,1,0,23,93,singleType,1,0,0,1,0,21,8,0,8,0
1208,Maccini & Hughes (2000),9,multiProbe,0,1,8,4,B,0,1,0,26,95,singleType,1,0,0,1,0,24,11,0,11,0
1209,Maccini & Hughes (2000),9,multiProbe,0,1,8,4,B,0,1,0,34,97,singleType,1,0,0,1,0,32,19,0,19,0
1210,Maccini & Hughes (2000),9,multiProbe,0,1,8,4,B,0,1,0,38,95,singleType,1,0,0,1,0,36,23,0,23,0
1211,Maccini & Hughes (2000),9,multiProbe,0,1,8,4,B,0,1,0,46,96,singleType,1,0,0,1,0,44,31,0,31,0
1212,Maccini & Hughes (2000),9,multiProbe,0,1,8,4,B,0,1,0,53,66,generalization,0,0,1,1,0,51,38,0,38,0
1213,Maccini & Hughes (2000),9,multiProbe,0,1,8,4,B,0,1,0,60,78,generalization,0,0,1,1,0,58,45,0,45,0
