,authorYear,study,designType,multiBase,multiProbe,cluster,case,phase,A,B,M,session,outcome,complexityMeasure,singleType,mixedType,generalization,level_AB,level_BM,time_A,time_B,time_M,trend_AB,trend_BM
1248,Maccini & Ruhl (2000),10,multiProbe,0,1,1,2,B,0,1,0,15,91,singleType,1,0,0,1,0,14,7,0,7,0
1249,Maccini & Ruhl (2000),10,multiProbe,0,1,1,2,B,0,1,0,17,82,generalization,0,0,1,1,0,16,9,0,9,0
1250,Maccini & Ruhl (2000),10,multiProbe,0,1,1,2,B,0,1,0,19,44,generalization,0,0,1,1,0,18,11,0,11,0
1251,Maccini & Ruhl (2000),10,multiProbe,0,1,1,3,A,1,0,0,2,19,singleType,1,0,0,0,0,0,-7,0,0,0
1252,Maccini & Ruhl (2000),10,multiProbe,0,1,1,3,A,1,0,0,3,3,singleType,1,0,0,0,0,1,-6,0,0,0
1253,Maccini & Ruhl (2000),10,multiProbe,0,1,1,3,A,1,0,0,6,98,singleType,1,0,0,0,0,4,-3,0,0,0
1254,Maccini & Ruhl (2000),10,multiProbe,0,1,1,3,A,1,0,0,7,73,singleType,1,0,0,0,0,5,-2,0,0,0
1255,Maccini & Ruhl (2000),10,multiProbe,0,1,1,3,B,0,1,0,9,89,singleType,1,0,0,1,0,7,0,0,0,0
1256,Maccini & Ruhl (2000),10,multiProbe,0,1,1,3,B,0,1,0,10,98,singleType,1,0,0,1,0,8,1,0,1,0
1257,Maccini & Ruhl (2000),10,multiProbe,0,1,1,3,B,0,1,0,12,99,singleType,1,0,0,1,0,10,3,0,3,0
1258,Maccini & Ruhl (2000),10,multiProbe,0,1,1,3,B,0,1,0,13,92,singleType,1,0,0,1,0,11,4,0,4,0
1259,Maccini & Ruhl (2000),10,multiProbe,0,1,1,3,B,0,1,0,15,76,singleType,1,0,0,1,0,13,6,0,6,0
1260,Maccini & Ruhl (2000),10,multiProbe,0,1,1,3,B,0,1,0,16,99,singleType,1,0,0,1,0,14,7,0,7,0
1261,Maccini & Ruhl (2000),10,multiProbe,0,1,1,3,B,0,1,0,18,76,generalization,0,0,1,1,0,16,9,0,9,0
1262,Maccini & Ruhl (2000),10,multiProbe,0,1,1,3,B,0,1,0,20,3,generalization,0,0,1,1,0,18,11,0,11,0
1263,Maccini & Ruhl (2000),10,multiProbe,0,1,2,1,A,1,0,0,1,36,singleType,1,0,0,0,0,0,-5,0,0,0
1264,Maccini & Ruhl (2000),10,multiProbe,0,1,2,1,A,1,0,0,2,31,singleType,1,0,0,0,0,1,-4,0,0,0
1265,Maccini & Ruhl (2000),10,multiProbe,0,1,2,1,A,1,0,0,3,19,singleType,1,0,0,0,0,2,-3,0,0,0
1266,Maccini & Ruhl (2000),10,multiProbe,0,1,2,1,A,1,0,0,4,18,singleType,1,0,0,0,0,3,-2,0,0,0
1267,Maccini & Ruhl (2000),10,multiProbe,0,1,2,1,B,0,1,0,6,93,singleType,1,0,0,1,0,5,0,0,0,0
1268,Maccini & Ruhl (2000),10,multiProbe,0,1,2,1,B,0,1,0,7,83,singleType,1,0,0,1,0,6,1,0,1,0
1269,Maccini & Ruhl (2000),10,multiProbe,0,1,2,1,B,0,1,0,9,87,singleType,1,0,0,1,0,8,3,0,3,0
1270,Maccini & Ruhl (2000),10,multiProbe,0,1,2,1,B,0,1,0,10,92,singleType,1,0,0,1,0,9,4,0,4,0
1271,Maccini & Ruhl (2000),10,multiProbe,0,1,2,1,B,0,1,0,12,92,singleType,1,0,0,1,0,11,6,0,6,0
1272,Maccini & Ruhl (2000),10,multiProbe,0,1,2,1,B,0,1,0,13,96,singleType,1,0,0,1,0,12,7,0,7,0
1273,Maccini & Ruhl (2000),10,multiProbe,0,1,2,1,B,0,1,0,15,53,generalization,0,0,1,1,0,14,9,0,9,0
1274,Maccini & Ruhl (2000),10,multiProbe,0,1,2,1,B,0,1,0,17,39,generalization,0,0,1,1,0,16,11,0,11,0
1275,Maccini & Ruhl (2000),10,multiProbe,0,1,2,2,A,1,0,0,1,57,singleType,1,0,0,0,0,0,-7,0,0,0
